animal_id,lrid,tag,rfid,nlis,is_new,draft,sex,dob,sire,dam,breed,colour,weaned,prev_tag,prev_pic,note,note_date,is_exported,is_history,is_deleted,tag_sorter,donordam,whp,esi,status,status_date,overall_adg,current_adg,last_weight,last_weight_date,selected,animal_group,current_farm,current_property,current_area,current_farm_date,current_property_date,current_area_date,animal_group_date,sex_date,breed_date,dob_date,colour_date,prev_pic_date,sire_date,dam_date,donordam_date,prev_tag_date,tag_date,rfid_date,nlis_date,modified,full_rfid,full_rfid_date
1876,0,9010,964001009986918,36US012011009010,0,"",Female,634373856000000000,"","",Cull,"",0,"","",cull,636995477660000000,0,0,0,"                            9010","",,,Sold,637064023280755926,-0.10,-1.33,39,636995477699270000,0,"AI 2018","","","",,,,636871557009550000,635769782256846445,636689272660800000,,,,,,,,,,,637064023280755926,"",
1877,0,10007,964001009986685,36US012011010007,0,"",Female,634321152000000000,"","",ARG,"Orange 16",0,"","","cull - both kids died",636933340420000000,0,0,0,"                           10007","",,,Dead,637021027601390000,-0.02,-0.04,122,636930788835930000,0,"7th BRD GRP","","","",,,,636871513428620000,635876782770000000,636696605940930000,,636096223615090000,,,,,,,,,637694757497616879,"",
1878,0,10009,964001009986616,36US012011010009,0,"",Female,634559616000000000,"",WAST03,"",SGM,0,"","","New Tag: 10009",636873050096080000,0,0,0,"                           10009","",,,Sold,637064025137533602,-0.02,2.25,119,636995402133500000,0,"","","","",,,,638407278480988909,635876774880000000,638407278480988909,,636872929755460000,,,638407278480525599,,,636873050094870000,,,638407278482082341,"",
1879,0,11044,964001009986941,36US012010011044,0,"",Female,634023936000000000,"","","",Black,0,"","","Found dead 1/22/18 NAC",636473940690000000,0,0,0,"                           11044","",,,Dead,636522120708120000,-0.04,0.35,148,636457305846450000,0,"","","","",,,,,635780086106990000,,,635834574727830000,,,,,,,,,636522120708200000,"",
1881,0,11021,964001009986622,36US012008011021,0,"",Female,633630816000000000,"",WAST02,Cull,"Orange 16",0,"","","euthanized/no teeth/ weak",636692393720000000,0,0,0,"                           11021","",,,Dead,636731080506860000,-0.05,-0.01,111,636692393738760000,0,"","","","",,,,,635779937028260000,636692393835340000,,636096223876620000,,,638407279771445609,,,,,,638407279772222914,"",
1882,0,12003,964001009986663,36US012011012040,0,"",Female,634449888000000000,"","",ARG,Black,0,12040,"","New Tag: 12003",637204874808220000,0,0,0,"                           12003","",0,0,Dead,637784638384570000,-0.02,-0.09,122.0,636941262541400000,0,"2nd BRD GRP","","","",,,,636871379213570000,635786152077610000,636696605954340000,,635834573257970000,,,,,637204874924650000,637204874805310000,,,637784638384750000,"",
1883,0,11034,964001009986655,36US012010011034,0,"",Female,634010112000000000,"","",Cull,"Orange 16",0,"","","2017 AI",636395119384560000,0,0,0,"                           11034","",0,0,Sold,636852192591120000,-0.02,-0.43,142.0,636770240596760000,0,"","","","",,,,,,636691398500950000,,636096224787180000,,,,,,,,,636852192591130000,"",
1884,0,9018,964001009986940,36US012010009018,0,"",Female,633999744000000000,"","","","",0,"","","New Tag: 9018",635609739640000000,0,0,0,"                            9018","",0,0,Sold,635995999058130000,0.02,0.00,120.0,635980464237150000,0,"","","","",,,,,635876788940000000,,,,,,,,,,,,635995999058140000,"",
1886,0,12086,964001027784136,36US012011012014,0,"",Female,634588992000000000,"",WAST02,ARG,"",0,9030,"","Cull no mmilk",637342060205760000,0,0,0,"                           12086","",,,Dead,637784645924250000,-0.01,-0.01,121,637435513031260000,0,"","","","",,,,638406576077540000,635779917092720000,636696605964630000,,638406576077140000,,,638406576075350000,,637218709734660000,636102289870330000,637218709239150000,,638406576082960000,"",
1888,0,011TUX,964001009987473,36US01201111CAPR,0,"",Male,634588992000000000,"","","","",0,"","","New EID: 964001009987473",635609741720000000,0,0,0,"                              11TUX","",0,0,Sold,636263779781710000,-0.05,-0.12,194.0,636213732061570000,0,"","","","",,,,,638405958976040000,,,,,,,,,635731807599947696,635731793651744515,,638405958976040000,"",
